Rule,Description,Role,User Type
File Format,Only CSV format is allowed.,,
File Size,The file should not exceed 10MB.,,
Data Validation,Ensure all required fields are filled and data types are correct.,,
Duplicate Entries,No duplicate records should be present in the file.,,
Header Row,The first row should contain column headers that match the required format.,,
Start Date,"Should be in the format day/month/year (e.g., 01/10/2024).",,
Date of Birth,"Should be in the format day/month/year (e.g., 01/10/2024).",,
Tax Free Threshold,This should be only 'With Tax Free Threshold' or 'Without Tax Free Threshold'.,,
Role Type,"Select the role first; based on that, select the user type.",,
User Type,"Based on the selected role, choose the appropriate user type.",,
,,Org Admin,ICT Admin
,,,FacilityAdmin
,,,
,,Staff,ICT Staff
