S.no,Account  Number,Account Name
1,'1-0000,Assets
1.1,'1-1000,Current Assets
1.1.1,'1-1100,Bank Accounts
1.1.1.1,'1-1110,Business Bank Account #1
1.1.1.2,'1-1120,Business Bank Account #2
1.1.1.3,'1-1130,Business Bank Account #3
1.1.1.4,'1-1140,Petty Cash/Cash On Hand
1.1.2,'1-1200,Clearing Accounts
1.1.2.1,'1-1210,Undeposited Funds Account
1.1.2.2,'1-1220,Electronic Clearing Account
1.1.2.3,'1-1230,Payroll Clearing Account
1.1.3,'1-1300,Other Current Assets
1.1.3.1,'1-1310,Trade Debtors
1.1.3.2,'1-1320,Inventory
1.1.3.3,'1-1330,Deposits To Suppliers
1.1.3.4,'1-1340,Voluntary Withholding Credits
1.1.3.5,'1-1350,ABN Withholding Credits
1.1.4,'1-1400,GST Assets
1.1.4.1,'1-1410,GST Paid
1.1.5,'1-1500,Non Profit Trust
1.1.5.1,'1-1510,Accounts Receivables
1.1.5.2,'1-1520,Cash on Hand
1.1.5.3,'1-1530,Cash at Bank - Restricted
1.1.5.4,'1-1540,Cash at Bank - Unrestricted
1.1.5.5,'1-1550,Petty Cash
1.1.5.6,'1-1560,Prepayments
1.1.5.7,'1-1570,Short-Term Investments
1.1.6,'1-1600,Profitable Trust
1.1.6.1,'1-1610,Investment Account
1.1.6.2,'1-1620,Undeposited Funds
1.1.6.3,'1-1630,Inventory on Hand
1.1.6.4,'1-1640,Other Current Assets
1.2,'1-2000,Non-Current Assets
1.2.1,'1-2100,Plant & Equipment
1.2.1.1,'1-2110,Plant & Equipment At Cost
1.2.1.2,'1-2120,Accum. Depr. Plant & Equipment
1.2.2,'1-2200,Furniture
1.2.2.1,'1-2210,Furniture At Cost
1.2.2.2,'1-2220,Accum. Depr. Furniture
1.2.3,'1-2300,Office Equipment
1.2.3.1,'1-2310,Office Equipment At Cost
1.2.3.2,'1-2320,Accum. Depr. Office Equipment
1.2.4,'1-2400,Computers
1.2.4.1,'1-2410,Computers At Cost
1.2.4.2,'1-2420,Accum. Depr. Computers
1.2.5,'1-2500,Motor Vehicles
1.2.5.1,'1-2510,Motor Vehicles #1 At Cost
1.2.5.2,'1-2520,Accum. Depr. Motor Vehicles #1
1.2.5.3,'1-2530,Motor Vehicles #2 At Cost
1.2.5.4,'1-2540,Accum. Depr. Motor Vehicles #2
1.2.5.5,'1-2550,Motor Vehicles #3 At Cost
1.2.5.6,'1-2560,Accum. Depr. Motor Vehicles #3
1.2.6,'1-2600,Low Value Pool
1.2.6.1,'1-2610,Low Value Pool At Cost
1.2.6.2,'1-2620,Accum. Depr. Low Value Pool
1.2.7,'1-2700,Buildings
1.2.7.1,'1-2710,Buildings At Cost
1.2.7.2,'1-2720,Accum. Depr. Buildings
1.2.8,'1-2800,Warehouse Equipment
1.2.8.1,'1-2810,Warehouse Equipment At Cost
1.2.8.2,'1-2820,Accum. Depr. Warehouse Equip
1.2.9,'1-2900,Improvements
1.2.9.1,'1-2910,Improvements At Cost
1.2.9.2,'1-2920,Accum. Depr. Improvements
1.3,'1-3000,Leased Equipment
1.3.0.1,'1-3010,Leased Equipment At Cost
1.3.0.2,'1-3020,Accum. Depr. Leased Equipment
1.3.1,'1-3100,Land
1.3.1.1,'1-3110,Land At Cost
1.3.2,'1-3200,Non Profit Trust
1.3.2.1,'1-3210,Provision for Doubtful Debts
1.3.2.2,'1-3220,Long-Term Investments
1.3.2.3,'1-3230,ABN Withholding Credits
1.3.2.4,'1-3240,Borrowing Costs
1.3.2.5,'1-3250,Intangibles
1.3.3,'1-3300,Profitable Trust
1.3.3.1,'1-3310,Land
1.3.3.2,'1-3320,Buildings
1.3.3.3,'1-3330,Accumulated Depreciation on Buildings
1.3.3.4,'1-3340,Long-Term Investments
1.3.3.5,'1-3350,Loan
1.3.3.6,'1-3360,Other Non-Current Assets
1.4,'1-4000,Fixed Assets
1.4.1,'1-4100,Non Profit Trust
1.4.1.1,'1-4110,Computer Equipment
1.4.1.2,'1-4120,Computer Equipment - Acc Depre
1.4.1.3,'1-4130,Furniture & fixtures
1.4.1.4,'1-4140,Furniture & fixtures- Accum Depre
1.4.2,'1-4200,Profitable Trust
1.4.2.1,'1-4210,Motor Vehicle at cost
1.4.2.2,'1-4220,Motor Vehicle at cost - Acc Depre
1.4.2.3,'1-4230,Motor Vehicle at cost - Acc Depre
1.4.2.4,'1-4240,Office Equipment - Acc Depre
2,'2-0000,Liabilities
2.1,'2-1000,Current Liabilities
2.1.1,'2-1100,Credit Cards
2.1.1.1,'2-1110,Visa #1
2.1.1.2,'2-1120,Mastercard #1
2.1.1.3,'2-1130,AMEX #1
2.1.1.4,'2-1140,Visa #2
2.1.1.5,'2-1150,Mastercard #2
2.1.1.6,'2-1160,AMEX #2
2.1.1.7,'2-1170,Land At Cost
2.1.2,'2-1200,GST Liabilities
2.1.2.1,'2-1210,GST Collected
2.1.3,'2-1300,Other Tax/Withholding Liab
2.1.3.1,'2-1310,Voluntary Withholdings Payable
2.1.3.2,'2-1320,ABN Withholdings Payable
2.1.3.3,'2-1330,Company Tax Instal. Payable
2.1.3.4,'2-1340,FBT Instalments Payable
2.1.3.5,'2-1350,Fuel Tax Credits Payable
2.1.3.6,'2-1360,Luxury Car Tax Payable
