Rule,Description,Role,User Type,Nationality,Languages
File Format,Only CSV format is allowed.,,,Afghan,Arabic
File Size,The file should not exceed 10MB.,,,American,Armenian
Data Validation,Ensure all required fields are filled and data types are correct.,,,Argentinian,Azerbaijani
Duplicate Entries,No duplicate records should be present in the file.,,,Armenian,Bengali
Header Row,The first row should contain column headers that match the required format.,,,Australian,Burmese
Start Date,"Should be in the format day/month/year (e.g., 01/10/2024).",,,Azerbaijani,Dhivehi
Date of Birth,"Should be in the format day/month/year (e.g., 01/10/2024).",,,Bahraini,Dzongkha
Tax Free Threshold,This should be only 'With Tax Free Threshold' or 'Without Tax Free Threshold'.,,,Bangladeshi,English
Role Type,"Select the role first; based on that, select the user type.",,,Bhutanese,Filipino
User Type,"Based on the selected role, choose the appropriate user type.",,,Brazilian,French
,,Org Admin,NDIS Org Admin,British,German
,,,Facility Admin,Bruneian,Greek
,,,,,
,,Roster Admin,Roster Manager,Burmese,Hebrew
,,,HR Admin,Cambodian,Hindi
,,,Payroll Admin,Canadian,Indonesian
,,,NDIS Participant,Chilean,Italian
,,,Payroll Accountant for Multiple,Chinese,Japanese
,,,Accountant for Organisation,Colombian,Kazakh
,,,,Cuban,Khmer
,,Staff,NDIS Staff,Egyptian,Korean
,,,,Emirati,Kyrgyz
Management Fee,The Management Fee should be a numerical from 0 to 100,,,Fijian,Lao
Languages,One or more languages can be entered with a ; separating each language,,,Filipino,Malay
Nationality,Only one nationality can be entered,,,French,Mandarin
Frequency,Weekly,,,German,Mongolian
,Fortnightly,,,Ghanaian,Nepali
,Monthly,,,Greek,Persian
,,,,Indian,Portuguese
,,,,Indonesian,Russian
,,,,Iranian,Samoan
,,,,Iraqi,Sinhala
,,,,Israeli,Swahili
,,,,Italian,Thai
,,,,Jamaican,Tongan
,,,,Japanese,Turkish
,,,,Jordanian,Urdu
,,,,Kazakhstani,Uzbek
,,,,Kenyan,Vietnamese
,,,,Kuwaiti,
,,,,Kyrgyzstani,
,,,,Laotian,
,,,,Lebanese,
,,,,Malaysian,
,,,,Maldivian,
,,,,Mexican,
,,,,Mongolian,
,,,,Moroccan,
,,,,Nepali,
,,,,New Zealander,
,,,,Nigerian,
,,,,North Korean,
,,,,Norwegian,
,,,,Omani,
,,,,Pakistani,
,,,,Peruvian,
,,,,Portuguese,
,,,,Qatari,
,,,,Russian,
,,,,Samoan,
,,,,Saudi,
,,,,Singaporean,
,,,,South African,
,,,,South Korean,
,,,,Spanish,
,,,,Sri Lankan,
,,,,Swedish,
,,,,Syrian,
,,,,Taiwanese,
,,,,Tajikistani,
,,,,Thai,
,,,,Tongan,
,,,,Turkish,
,,,,Uzbekistani,
,,,,Vietnamese,
,,,,Yemeni,
