Rule,Description,Role,User Type
File Format,Only CSV format is allowed.,,
File Size,The file should not exceed 10MB.,,
Data Validation,Ensure all required fields are filled and data types are correct.,,
Duplicate Entries,No duplicate records should be present in the file.,,
Header Row,The first row should contain column headers that match the required format.,,
Start Date,"Should be in the format day/month/year (e.g., 01/10/2024).",,
Date of Birth,"Should be in the format day/month/year (e.g., 01/10/2024).",,
Tax Free Threshold,This should be only 'With Tax Free Threshold' or 'Without Tax Free Threshold'.,,
Role Type,"Select the role first; based on that, select the user type.",,
User Type,"Based on the selected role, choose the appropriate user type.",,
ABN or TFN,Either Australian Bank Number or Tax File Number is mandatory ,Org Admin,NDIS Org Admin
,,,Facility Admin
,,,
,,Roster Admin,Roster Manager
,,,HR Admin
,,,Payroll Admin
,,,NDIS Participant
,,,Payroll Accountant for Multiple
,,,Accountant for Organisation
,,,
,,Staff,NDIS Staff
,,,
Management Fee,The Management Fee should be a numerical from 0 to 100,,
Frequency,Weekly,,
,Fortnightly,,
,Monthly,,
,,,
Who is receiving the NDIS service?,Parent / Guardian,,
,Child (NDIS Participant),,
,Both Parent and Child,,
