Rule,Description
File Format,Only CSV format is allowed.
File Size,The file should not exceed 10MB.
Data Validation,Ensure all required fields are filled and data types are correct.
Duplicate Entries,No duplicate records should be present in the file.
Header Row,The first row should contain column headers that match the required format.
Start Date,"Should be in the format day/month/year (e.g., 01/10/2024)."
Date of Birth,"Should be in the format day/month/year (e.g., 01/10/2024)."
Frequency,Weekly
,Fortnightly
,Monthly
