Rule,Description
File Format,Only CSV format is allowed.
File Size,The file should not exceed 10MB.
Data Validation,Ensure all required fields are filled and data types are correct.
Duplicate Entries,No duplicate records should be present in the file.
Header Row,The first row should contain column headers that match the required format.
Roles,Enter one or more than one Role 
Type of Service,Seelect any one in the Type of Services  provided  below
,NDIS 
,Nursing
,Child Care
,Transport
Use Org ABN,Select Yes/True if you want to use the organisation’s ABN
,"If “Use Org ABN” is No/Flase, entering an ABN is required."
,
Services,Select  one or more than one Services  seperated by semicolon provided below
,Personal Care
,Disability Care
,Supported Independent Living
,Support Coordination
,Health & Wellbeing
,Specialist Disability Accommodation (SDA)
,Medium Term Accommodation (MTA)
,Short Term Accommodation (Respite)
,Individualised Living Options (ILO)
,Social and Community Participation Services
,Behaviors Support
,Employment Pathways
,Psychosocial Recovery Coaching
,Mental Health Support Services
