Rule,Description,Nationality,Languages
File Format,Only CSV format is allowed.,Afghan,Arabic
File Size,The file should not exceed 10MB.,American,Armenian
Data Validation,Ensure all required fields are filled and data types are correct.,Argentinian,Azerbaijani
Duplicate Entries,No duplicate records should be present in the file.,Armenian,Bengali
Header Row,The first row should contain column headers that match the required format.,Australian,Burmese
Start Date,"Should be in the format day/month/year (e.g., 01/10/2024).",Azerbaijani,Dhivehi
Date of Birth,"Should be in the format day/month/year (e.g., 01/10/2024).",Bahraini,Dzongkha
Tax Free Threshold,This should be only 'With Tax Free Threshold' or 'Without Tax Free Threshold'.,Bangladeshi,English
Management Fee,The Management Fee should be a numerical from 0 to 100,Bhutanese,Filipino
Languages,One or more languages can be entered with a ; separating each language,Brazilian,French
Nationality,Only one nationality can be entered,British,German
Frequency,Weekly,Bruneian,Greek
,Fortnightly,Burmese,Hebrew
,Monthly,Cambodian,Hindi
,,Canadian,Indonesian
,,Chilean,Italian
,,Chinese,Japanese
,,Colombian,Kazakh
,,Cuban,Khmer
,,Egyptian,Korean
,,Emirati,Kyrgyz
,,Fijian,Lao
,,Filipino,Malay
,,French,Mandarin
,,German,Mongolian
,,Ghanaian,Nepali
,,Greek,Persian
,,Indian,Portuguese
,,Indonesian,Russian
,,Iranian,Samoan
,,Iraqi,Sinhala
,,Israeli,Swahili
,,Italian,Thai
,,Jamaican,Tongan
,,Japanese,Turkish
,,Jordanian,Urdu
,,Kazakhstani,Uzbek
,,Kenyan,Vietnamese
,,Kuwaiti,
,,Kyrgyzstani,
,,Laotian,
,,Lebanese,
,,Malaysian,
,,Maldivian,
,,Mexican,
,,Mongolian,
,,Moroccan,
,,Nepali,
,,New Zealander,
,,Nigerian,
,,North Korean,
,,Norwegian,
,,Omani,
,,Pakistani,
,,Peruvian,
,,Portuguese,
,,Qatari,
,,Russian,
,,Samoan,
,,Saudi,
,,Singaporean,
,,South African,
,,South Korean,
,,Spanish,
,,Sri Lankan,
,,Swedish,
,,Syrian,
,,Taiwanese,
,,Tajikistani,
,,Thai,
,,Tongan,
,,Turkish,
,,Uzbekistani,
,,Vietnamese,
,,Yemeni,
